子分类,接口名称 (Function),说明 (Description),详细描述,限量,输入参数
A股/综合,stock_zh_b_daily,B 股历史行情数据(日频),"B 股数据是从新浪财经获取的数据, 历史数据按日频率更新",单次返回指定 B 股上市公司指定日期间的历史行情日频率数据,"| 名称         | 类型  | 描述                                                                                   |
|------------|-----|--------------------------------------------------------------------------------------|
| symbol     | str | symbol='sh900901'; 股票代码可以在 **ak.stock_zh_b_spot()** 中获取                              |
| start_date | str | start_date='20201103'; 开始查询的日期                                                       |
| end_date   | str | end_date='20201116'; 结束查询的日期                                                         |
| adjust     | str | 默认返回不复权的数据; qfq: 返回前复权后的数据; hfq: 返回后复权后的数据; hfq-factor: 返回后复权因子; qfq-factor: 返回前复权因子 |"
A股/综合,stock_zh_b_minute,B 股分时历史行情数据(分钟),"新浪财经 B 股股票或者指数的分时数据，目前可以获取 1, 5, 15, 30, 60 分钟的数据频率, 可以指定是否复权",单次返回指定股票或指数的指定频率的最近交易日的历史分时行情数据,"| 名称     | 类型  | 描述                                                         |
|--------|-----|------------------------------------------------------------|
| symbol | str | symbol='sh900901'; 同日频率数据接口                                |
| period | str | period='1'; 获取 1, 5, 15, 30, 60 分钟的数据频率                    |
| adjust | str | adjust=""""; 默认为空: 返回不复权的数据; qfq: 返回前复权后的数据; hfq: 返回后复权后的数据; |"
A股/综合,stock_tfp_em,两市停复牌数据,东方财富网-数据中心-特色数据-停复牌信息,"单次获取指定 date 的停复牌数据, 具体更新逻辑跟目标网页统一","| 名称   | 类型  | 描述              |
|------|-----|-----------------|
| date | str | date=""20240426"" |"
A股/综合,stock_zh_a_new,股票数据-次新股,新浪财经-行情中心-沪深股市-次新股,"单次返回所有次新股行情数据, 由于次新股名单随着交易日变化而变化，只能获取最近交易日的数据",
A股/综合,stock_zh_kcb_report_em,科创板报告,东方财富-科创板报告数据,单次返回所有科创板上市公司的报告数据,"| 名称        | 类型  | 描述                   |
|-----------|-----|----------------------|
| from_page | int | from_page=1; 始获取的页码  |
| to_page   | int | to_page=100; 结束获取的页码 |"
基本面/财务,stock_info_sz_name_code,深证证券交易所股票代码和简称,深证证券交易所股票代码和股票简称数据,单次获取深证证券交易所股票代码和简称数据,"| 名称     | 类型  | 描述                                                          |
|--------|-----|-------------------------------------------------------------|
| symbol | str | symbol=""A股列表""; choice of {""A股列表"", ""B股列表"", ""CDR列表"", ""AB股列表""} |"
基本面/财务,stock_info_sh_name_code,上海证券交易所股票代码和简称,上海证券交易所股票代码和简称数据,单次获取所有上海证券交易所股票代码和简称数据,"| 名称     | 类型  | 描述                                               |
|--------|-----|--------------------------------------------------|
| symbol | str | symbol=""主板A股""; choice of {""主板A股"", ""主板B股"", ""科创板""} |"
基本面/财务,stock_info_bj_name_code,北京证券交易所股票代码和简称,北京证券交易所股票代码和简称数据,单次获取北京证券交易所所有的股票代码和简称数据,
基本面/财务,stock_info_sh_delist,上海证券交易所暂停和终止上市,上海证券交易所暂停/终止上市股票,单次获取上海证券交易所暂停/终止上市股票,"| 名称     | 类型  | 描述                                         |
|--------|-----|--------------------------------------------|
| symbol | str | symbol=""全部""; choice of {""全部"", ""沪市"", ""科创板""} |"
基本面/财务,stock_info_sz_delist,深证证券交易所暂停和终止上市,深证证券交易所终止/暂停上市股票,单次获取深证证券交易所终止/暂停上市数据,"| 名称     | 类型  | 描述                                              |
|--------|-----|-------------------------------------------------|
| symbol | str | symbol=""终止上市公司""; choice of {""暂停上市公司"", ""终止上市公司""} |"
基本面/财务,stock_info_sz_change_name,深证证券交易所名称变更,深证证券交易所-市场数据-股票数据-名称变更,单次获取所有历史数据,"| 名称     | 类型  | 描述                                        |
|--------|-----|-------------------------------------------|
| symbol | str | symbol=""全称变更""; choice of {""全称变更"", ""简称变更""} |"
基本面/财务,stock_info_change_name,A 股股票曾用名列表,新浪财经-股票曾用名,单次指定 symbol 的所有历史曾用名称,"| 名称     | 类型  | 描述                    |
|--------|-----|-----------------------|
| symbol | str | symbol=""000503""; 股票代码 |"
基本面/财务,stock_info_a_code_name,A 股股票代码和简称,沪深京 A 股股票代码和股票简称数据,单次获取所有 A 股股票代码和简称数据,
基本面/财务,stock_financial_abstract,财务摘要,新浪财经-财务报表-关键指标,单次获取关键指标所有历史数据,"| 名称     | 类型  | 描述                    |
|--------|-----|-----------------------|
| symbol | str | symbol=""600004""; 股票代码 |"
基本面/财务,stock_financial_report_sina,三大财务报表,新浪财经-财务报表-三大报表,单次获取指定报表的所有年份数据的历史数据,"| 名称     | 类型  | 描述                                                  |
|--------|-----|-----------------------------------------------------|
| stock  | str | stock=""sh600600""; 带市场标识的股票代码                        |
| symbol | str | symbol=""现金流量表""; choice of {""资产负债表"", ""利润表"", ""现金流量表""} |"
基本面/财务,stock_financial_analysis_indicator,财务指标,新浪财经-财务分析-财务指标,单次获取指定 symbol 和 start_year 的所有财务指标历史数据,"| 名称         | 类型  | 描述                         |
|------------|-----|----------------------------|
| symbol     | str | symbol=""600004""; 股票代码      |
| start_year | str | start_year=""2020""; 开始查询的时间 |"
基本面/财务,stock_add_stock,股票增发,新浪财经-发行与分配-增发,单次指定 symbol 的股票增发详情数据,"| 名称     | 类型  | 描述                    |
|--------|-----|-----------------------|
| symbol | str | symbol=""600004""; 股票代码 |"
基本面/财务,stock_ipo_info,股票新股,新浪财经-发行与分配-新股发行,单次获取新股发行的基本信息数据,"| 名称    | 类型  | 描述                   |
|-------|-----|----------------------|
| stock | str | stock=""600004""; 股票代码 |"
基本面/财务,stock_history_dividend_detail,分红配股,新浪财经-发行与分配-分红配股,单次获取指定股票的新浪财经-发行与分配-分红配股详情,"| 名称        | 类型  | 描述                                               |
|-----------|-----|--------------------------------------------------|
| symbol    | str | symbol=""600012""; 股票代码                            |
| indicator | str | indicator=""配股""; choice of {""分红"", ""配股""}           |
| date      | str | date=""1994-12-24""; 分红配股的具体日期, e.g., ""1994-12-24"" |"
基本面/财务,stock_history_dividend,历史分红,新浪财经-发行与分配-历史分红,单次获取所有股票的历史分红数据,
基本面/财务,stock_dividend_cninfo,个股历史分红,巨潮资讯-个股-历史分红,单次获取指定股票的历史分红数据,"| 名称     | 类型  | 描述              |
|--------|-----|-----------------|
| symbol | str | symbol=""600009"" |"
基本面/财务,stock_circulate_stock_holder,流动股东,新浪财经-股东股本-流通股东,单次获取指定 symbol 的流通股东数据,"| 名称     | 类型  | 描述                    |
|--------|-----|-----------------------|
| symbol | str | symbol=""600000""; 股票代码 |"
基本面/财务,stock_fund_stock_holder,基金持股,新浪财经-股本股东-基金持股,新浪财经-股本股东-基金持股所有历史数据,"| 名称     | 类型  | 描述                    |
|--------|-----|-----------------------|
| symbol | str | symbol=""600004""; 股票代码 |"
基本面/财务,stock_main_stock_holder,主要股东,新浪财经-股本股东-主要股东,单次获取所有历史数据,"| 名称    | 类型  | 描述                   |
|-------|-----|----------------------|
| stock | str | stock=""600004""; 股票代码 |"
基本面/财务,stock_zyjs_ths,主营介绍,同花顺-主营介绍,单次返回所有数据,"| 名称     | 类型  | 描述              |
|--------|-----|-----------------|
| symbol | str | symbol=""000066"" |"
基本面/财务,stock_financial_analysis_indicator_em,东方财富-A股-财务分析-主要指标,东方财富-A股-财务分析-主要指标,单次获取指定 symbol 的所有数据,"| 名称        | 类型  | 描述                                           |
|-----------|-----|----------------------------------------------|
| symbol    | str | symbol=""301389.SZ""; 股票代码                     |
| indicator | str | indicator=""按报告期""; choice of {""按报告期"", ""按单季度""} |"
基本面/财务,stock_balance_sheet_by_report_em,东方财富-股票-财务分析-资产负债表-按报告期,东方财富-股票-财务分析-资产负债表-按报告期,单次获取指定 symbol 的资产负债表-按报告期数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_balance_sheet_by_yearly_em,东方财富-股票-财务分析-资产负债表-按年度,东方财富-股票-财务分析-资产负债表-按年度,单次获取指定 symbol 的资产负债表-按年度数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_profit_sheet_by_report_em,东方财富-股票-财务分析-利润表-报告期,东方财富-股票-财务分析-利润表-报告期,单次获取指定 symbol 的利润表-报告期数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_profit_sheet_by_yearly_em,东方财富-股票-财务分析-利润表-按年度,东方财富-股票-财务分析-利润表-按年度,单次获取指定 symbol 的利润表-按年度数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_profit_sheet_by_quarterly_em,东方财富-股票-财务分析-利润表-按单季度,东方财富-股票-财务分析-利润表-按单季度,单次获取指定 symbol 的利润表-按单季度数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_cash_flow_sheet_by_report_em,东方财富-股票-财务分析-现金流量表-按报告期,东方财富-股票-财务分析-现金流量表-按报告期,单次获取指定 symbol 的现金流量表-按报告期数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_cash_flow_sheet_by_yearly_em,东方财富-股票-财务分析-现金流量表-按年度,东方财富-股票-财务分析-现金流量表-按年度,单次获取指定 symbol 的现金流量表-按年度数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_cash_flow_sheet_by_quarterly_em,东方财富-股票-财务分析-现金流量表-按单季度,东方财富-股票-财务分析-现金流量表-按单季度,单次获取指定 symbol 的现金流量表-按单季度数据,"| 名称     | 类型  | 描述                      |
|--------|-----|-------------------------|
| symbol | str | symbol=""SH600519""; 股票代码 |"
基本面/财务,stock_balance_sheet_by_report_delisted_em,东方财富-股票-财务分析-资产负债表-已退市股票-按报告期,东方财富-股票-财务分析-资产负债表-已退市股票-按报告期,单次获取指定 symbol 的资产负债表-按报告期数据,"| 名称     | 类型  | 描述                               |
|--------|-----|----------------------------------|
| symbol | str | symbol=""SZ000013""; 带市场标识的已退市股票代码 |"
基本面/财务,stock_profit_sheet_by_report_delisted_em,东方财富-股票-财务分析-利润表-已退市股票-按报告期,东方财富-股票-财务分析-利润表-已退市股票-按报告期,单次获取指定 symbol 的利润表-按报告期数据,"| 名称     | 类型  | 描述                               |
|--------|-----|----------------------------------|
| symbol | str | symbol=""SZ000013""; 带市场标识的已退市股票代码 |"
基本面/财务,stock_cash_flow_sheet_by_report_delisted_em,东方财富-股票-财务分析-现金流量表-已退市股票-按报告期,东方财富-股票-财务分析-现金流量表-已退市股票-按报告期,单次获取指定 symbol 的现金流量表-按报告期数据,"| 名称     | 类型  | 描述                               |
|--------|-----|----------------------------------|
| symbol | str | symbol=""SZ000013""; 带市场标识的已退市股票代码 |"
基本面/财务,stock_zygc_em,主营构成-东财,东方财富网-个股-主营构成,单次返回所有历史数据,"| 名称     | 类型  | 描述                |
|--------|-----|-------------------|
| symbol | str | symbol=""SH688041"" |"
基本面/财务,stock_zcfz_em,三大表报-资产负债表,东方财富-数据中心-年报季报-业绩快报-资产负债表,单次获取指定 date 的资产负债表数据,"| 名称   | 类型  |  描述                                                                                        |
|------|-----|--------------------------------------------------------------------------------------------|
| date | str | date=""20240331""; choice of {""XXXX0331"", ""XXXX0630"", ""XXXX0930"", ""XXXX1231""}; 从 20081231 开始 |"
基本面/财务,stock_zcfz_bj_em,三大表报-资产负债表-北交所,东方财富-数据中心-年报季报-业绩快报-资产负债表,单次获取指定 date 的资产负债表数据,"| 名称   | 类型  | 描述                                                                                         |
|------|-----|--------------------------------------------------------------------------------------------|
| date | str | date=""20240331""; choice of {""XXXX0331"", ""XXXX0630"", ""XXXX0930"", ""XXXX1231""}; 从 20081231 开始 |"
基本面/财务,stock_lrb_em,三大表报-利润表,东方财富-数据中心-年报季报-业绩快报-利润表,单次获取指定 date 的利润表数据,"| 名称   | 类型  | 描述                                                                                         |
|------|-----|--------------------------------------------------------------------------------------------|
| date | str | date=""20240331""; choice of {""XXXX0331"", ""XXXX0630"", ""XXXX0930"", ""XXXX1231""}; 从 20120331 开始 |"
基本面/财务,stock_xjll_em,三大表报-现金流量表,东方财富-数据中心-年报季报-业绩快报-现金流量表,单次获取指定 date 的现金流量表数据,"| 名称   | 类型  | 描述                                                                                         |
|------|-----|--------------------------------------------------------------------------------------------|
| date | str | date=""20200331""; choice of {""XXXX0331"", ""XXXX0630"", ""XXXX0930"", ""XXXX1231""}; 从 20081231 开始 |"
基本面/财务,stock_zh_valuation_baidu,百度股市通-A 股-财务报表-估值数据,百度股市通-A 股-财务报表-估值数据,单次获取指定 symbol 和 indicator 的所有历史数据,"| 名称        | 类型  | 描述                                                                     |
|-----------|-----|------------------------------------------------------------------------|
| symbol    | str | symbol=""002044""; A 股代码                                                 |
| indicator | str | indicator=""总市值""; choice of {""总市值"", ""市盈率(TTM)"", ""市盈率(静)"", ""市净率"", ""市现率""} |
| period    | str | period=""近一年""; choice of {""近一年"", ""近三年"", ""近五年"", ""近十年"", ""全部""}             |"
基本面/财务,stock_a_ttm_lyr,全部 A 股-等权重市盈率、中位数市盈率,乐咕乐股-A 股等权重市盈率与中位数市盈率,单次返回所有数据,
基本面/财务,stock_a_all_pb,全部 A 股-等权重市净率、中位数市净率,乐咕乐股-A 股等权重与中位数市净率,单次返回所有数据,
基本面/财务,stock_a_gxl_lg,乐咕乐股-股息率-A 股股息率,乐咕乐股-股息率-A 股股息率,单次获取指定 symbol 的所有历史数据,"| 名称     | 类型  | 描述                                                      |
|--------|-----|---------------------------------------------------------|
| symbol | str | symbol=""上证A股""; choice of {""上证A股"", ""深证A股"", ""创业板"", ""科创板""} |"
板块/概念/行业,stock_sector_spot,板块行情,新浪行业-板块行情,单次获取指定的板块行情实时数据,"| 名称        | 类型  | 描述                                                              |
|-----------|-----|-----------------------------------------------------------------|
| indicator | str | indicator=""新浪行业""; choice of {""新浪行业"", ""启明星行业"", ""概念"", ""地域"", ""行业""} |"
板块/概念/行业,stock_sector_detail,板块详情(具体股票),"新浪行业-板块行情-成份详情, 由于新浪网页提供的统计数据有误, 部分行业数量大于统计数",单次获取指定的新浪行业-板块行情-成份详情,"| 名称     | 类型  | 描述                                                                        |
|--------|-----|---------------------------------------------------------------------------|
| sector | str | sector=""hangye_ZL01""; 通过 **ak.stock_sector_spot** 返回数据的 label 字段选择 sector |"
板块/概念/行业,stock_board_industry_index_ths,同花顺-行业板块-指数日频数据,同花顺-板块-行业板块-指数日频率数据,单次返回所有日频指数数据,"| 名称         | 类型  | 描述                                                                      |
|------------|-----|-------------------------------------------------------------------------|
| symbol     | str | symbol=""元件""; 可以通过调用 **ak.stock_board_industry_name_ths()** 查看同花顺的所有行业名称 |
| start_date | str | start_date=""20200101""; 开始时间                                             |
| end_date   | str | end_date=""20211027""; 结束时间                                               |"
板块/概念/行业,stock_board_concept_index_ths,同花顺-概念板块-指数日频数据,同花顺-板块-概念板块-指数日频率数据,单次返回所有日频指数数据,"| 名称         | 类型  | 描述                                                                         |
|------------|-----|----------------------------------------------------------------------------|
| symbol     | str | symbol=""阿里巴巴概念""; 可以通过调用 **ak.stock_board_concept_name_ths()** 查看同花顺的所有概念名称 |
| start_date | str | start_date=""20200101""; 开始时间                                                |
| end_date   | str | end_date=""20250228""; 结束时间                                                  |"
板块/概念/行业,stock_board_concept_name_em,概念板块-名称,东方财富网-行情中心-沪深京板块-概念板块,单次返回当前时刻所有概念板块的实时行情数据,
板块/概念/行业,stock_board_concept_hist_em,概念板块-历史行情,东方财富-沪深板块-概念板块-历史行情数据,单次返回指定 symbol 和 adjust 的历史数据,"| 名称         | 类型  | 描述                                                                            |
|------------|-----|-------------------------------------------------------------------------------|
| symbol     | str | symbol=""绿色电力""; 可以通过调用 **ak.stock_board_concept_name_em()** 查看东方财富-概念板块的所有概念代码 |
| period     | str | period=""daily""; choice of {""daily"", ""weekly"", ""monthly""}                      |
| start_date | str | start_date=""20220101""                                                         |
| end_date   | str | end_date=""20221128""                                                           |
| adjust     | str | adjust=""""; choice of {'': 不复权, 默认; ""qfq"": 前复权, ""hfq"": 后复权}                    |"
板块/概念/行业,stock_board_concept_hist_min_em,概念板块-分时历史行情,东方财富-沪深板块-概念板块-分时历史行情数据,单次返回指定 symbol 和 period 的历史数据,"| 名称     | 类型  | 描述                                                                           |
|--------|-----|------------------------------------------------------------------------------|
| symbol | str | symbol=""长寿药""; 可以通过调用 **ak.stock_board_concept_name_em()** 查看东方财富-概念板块的所有概念代码 |
| period | str | period=""5""; choice of {""1"", ""5"", ""15"", ""30"", ""60""}                           |"
板块/概念/行业,stock_board_concept_cons_em,概念板块-板块成份,东方财富-沪深板块-概念板块-板块成份,单次返回当前时刻所有成份股,"| 名称     | 类型  | 描述                                                                                              |
|--------|-----|-------------------------------------------------------------------------------------------------|
| symbol | str | symbol=""融资融券""; 支持传入板块代码比如：BK0655，可以通过调用 **ak.stock_board_concept_name_em()** 查看东方财富-概念板块的所有行业名称 |"
板块/概念/行业,stock_board_industry_cons_em,行业板块-板块成份,东方财富-沪深板块-行业板块-板块成份,单次返回指定 symbol 的所有成份股,"| 名称     | 类型  | 描述                                                                                              |
|--------|-----|-------------------------------------------------------------------------------------------------|
| symbol | str | symbol=""小金属""; 支持传入板块代码比如：BK1027，可以通过调用 **ak.stock_board_industry_name_em()** 查看东方财富-行业板块的所有行业代码 |"
板块/概念/行业,stock_board_industry_hist_em,行业板块-历史行情,东方财富-沪深板块-行业板块-历史行情数据,单次返回指定 symbol 和 adjust 的所有历史数据,"| 名称         | 类型  | 描述                                                                            |
|------------|-----|-------------------------------------------------------------------------------|
| symbol     | str | symbol=""小金属""; 可以通过调用 **ak.stock_board_industry_name_em()** 查看东方财富-行业板块的所有行业代码 |
| start_date | str | start_date=""20211201"";                                                        |
| end_date   | str | end_date=""20220401"";                                                          |
| period     | str | period=""日k""; 周期; choice of {""日k"", ""周k"", ""月k""}                                 |
| adjust     | str | adjust=""""; choice of {'': 不复权, 默认; ""qfq"": 前复权, ""hfq"": 后复权}                    |"
板块/概念/行业,stock_board_industry_hist_min_em,行业板块-分时历史行情,东方财富-沪深板块-行业板块-分时历史行情数据,单次返回指定 symbol 和 period 的所有历史数据,"| 名称     | 类型  | 描述                                                                            |
|--------|-----|-------------------------------------------------------------------------------|
| symbol | str | symbol=""小金属""; 可以通过调用 **ak.stock_board_industry_name_em()** 查看东方财富-行业板块的所有行业代码 |
| period | str | period=""""; choice of {""1"", ""5"", ""15"", ""30"", ""60""}                             |"
板块/概念/行业,stock_board_industry_name_em,行业板块-板块名称,东方财富-沪深京板块-行业板块,单次返回当前时刻所有行业板的实时行情数据,
板块/概念/行业,stock_industry_category_cninfo,巨潮资讯-行业分类数据,巨潮资讯-数据-行业分类数据,单次获取指定 symbol 的行业分类数据,"| 名称     | 类型  | 描述                                                                                                                                 |
|--------|-----|------------------------------------------------------------------------------------------------------------------------------------|
| symbol | str | symbol=""巨潮行业分类标准""; choice of {""证监会行业分类标准"", ""巨潮行业分类标准"", ""申银万国行业分类标准"", ""新财富行业分类标准"", ""国资委行业分类标准"", ""巨潮产业细分标准"", ""天相行业分类标准"", ""全球行业分类标准""} |"
板块/概念/行业,stock_industry_change_cninfo,巨潮资讯-上市公司行业归属的变动情况,巨潮资讯-数据-上市公司行业归属的变动情况,单次获取指定 symbol 在 start_date 和 end_date 之间的上市公司行业归属的变动情况数据,"| 名称         | 类型  | 描述                    |
|------------|-----|-----------------------|
| symbol     | str | symbol=""002594""       |
| start_date | str | start_date=""20091227"" |
| end_date   | str | end_date=""20220708""   |"
板块/概念/行业,stock_board_change_em,板块异动,东方财富-行情中心-当日板块异动详情,返回最近交易日的数据,
沪深港通,stock_hsgt_hist_em,沪深港通历史数据,东方财富网-数据中心-资金流向-沪深港通资金流向-沪深港通历史数据,单次获取指定 symbol 的所有数据,"| 名称     | 类型  | 描述                                                                      |
|--------|-----|-------------------------------------------------------------------------|
| symbol | str | symbol=""北向资金""; choice of {""北向资金"", ""沪股通"", ""深股通"", ""南向资金"", ""港股通沪"", ""港股通深""} |"
